name,company_number,address_line1,locality,postcode,sic_codes,search_city,search_sic,latitude,longitude
FS PLUS LIMITED,14815199,3000 Aviator Way Manchester Business Park,Manchester,M22 5TG,69201,Manchester,69201,53.367321,-2.265103
BLOCKCHAIN CORE ACCOUNTANTS LTD,13378689,45 Gorse Avenue,Manchester,M32 0UE,"69201, 69202",Manchester,69201,53.453313,-2.293077
WARENTS FEINGOLD & CO LIMITED,04695277,349 Bury Old Rd,Manchester,M25 1PY,69201,Manchester,69201,53.534993,-2.26885
LEVANTE ASESORES LIMITED,12257445,Piccadilly Business Centre Unit C Aldow Enterprise Park,Manchester,M12 6AE,69201,Manchester,69201,53.47621,-2.219903
MUK PROFESSIONALS LIMITED,08036621,116-118 Oldham Road,Manchester,M4 6AG,"69201, 69202",Manchester,69201,53.486595,-2.227642
J A GUEST (NW) LTD,12013740,91 Princess Street,Manchester,M1 4HT,69201,Manchester,69201,53.477977,-2.240599
SIGMEZ ACCOUNTANTS LTD,08206899,192 Varley Street,Manchester,M40 7EJ,69201,Manchester,69201,53.488577,-2.210457
INTEGRAL EQUALITY LTD,08053910,9 Gambleside Close,Manchester,M28 7XU,69201,Manchester,69201,53.511928,-2.408687
AMMAR TABASSUM LIMITED,09341815,243 Blackley New Road,Manchester,M9 8FS,69201,Manchester,69201,53.524803,-2.242313
M&M ACCOUNTANCY AND BUSINESS ADVICE LIMITED,12750483,142 Rosebery Street,Manchester,M14 4UX,"69201, 70221",Manchester,69201,53.452679,-2.242912
XEINADIN CORPORATE RECOVERY LIMITED,11415156,Xeinadin Manchester,Manchester,M2 3BD,69201,Manchester,69201,53.475731,-2.244353
MK ACCOUNTANCY LTD,09774767,Suite 3.17 Universal Square,Manchester,M12 6JH,69201,Manchester,69201,53.470728,-2.214271
JB DISCOUNTS LIMITED,08456137,239 Bury New Road,Manchester,M45 8QP,69201,Manchester,69201,53.552714,-2.297128
MANCHESTER ACCOUNTING & TAX CO. LTD,12014623,175 St James's Tower,Manchester,M1 4DZ,"69201, 69202",Manchester,69201,53.479355,-2.239326
CLEARCUT ACCOUNTING OUTSOURCING LTD,14112416,Parkway 5 Suite 2 Parkway Business Centre,Manchester,M14 7HR,"69201, 69202, 69203",Manchester,69201,53.44852,-2.245915
EDEN ASSOCIATES  EST.1985 LTD,11017881,154 Northmoor Road,Manchester,M12 5RS,"69201, 69202, 85422",Manchester,69201,53.455314,-2.192854
ZH ACCOUNTANTS LTD,15764034,189 Elizabeth Street,Manchester,M8 8BW,69201,Manchester,69201,53.501731,-2.2461
SEY LTD,06613530,11 Manson Avenue,Manchester,M15 4FT,69201,Manchester,69201,53.469425,-2.264068
JJYTB LIMITED,08482716,12 Danesway,Manchester,M25 0FS,69201,Manchester,69201,53.520204,-2.258017
M. SALIM & CO LTD,11955573,51 Lord Street,Manchester,M3 1HE,69201,Manchester,69201,53.491834,-2.241989
ACHIEVE SERVICES LIMITED,14306412,69 Hamilton Road,Manchester,M13 0PD,"69201, 82990, 85600",Manchester,69201,53.455408,-2.200942
BLOOMFIELD'S ACCOUNTANT'S LTD,10754329,76 Factory Street West,Manchester,M46 0EF,"69201, 69202, 69203",Manchester,69201,53.524748,-2.498214
OPTIACCOUNTS LTD,11296501,29 Spinners Drive,Manchester,M28 3UB,"69201, 69202, 69203",Manchester,69201,53.524005,-2.379887
A. J. RYDER & CO LTD,04758722,120 Ashton Road,Manchester,M34 3JE,"69201, 69202",Manchester,69201,53.459953,-2.115523
CHAMPION HOLDINGS LIMITED,03792073,1 Worsley Court,Manchester,M28 3NJ,69201,Manchester,69201,53.524208,-2.400162
INQUESTA GROUP LIMITED,08106365,St John's Terrace,Manchester,M26 1LS,69201,Manchester,69201,53.556897,-2.319981
TWA MANAGEMENT LIMITED,08655396,1a Grange Lane,Manchester,M20 6RW,69201,Manchester,69201,53.415382,-2.230633
FOREST ACCOUNTANTS LTD,06959676,Hamilton House,Manchester,M8 8EL,69201,Manchester,69201,53.493598,-2.249731
ACCOUNTANCY & TAXATION SOLUTIONS LIMITED,05702538,26 Northleigh Road,Lancashire,M16 0EQ,"69201, 69202",Manchester,69201,53.452945,-2.277639
COPA ACCOUNTING LTD,13579975,Gateway House,Manchester,M22 5WY,69201,Manchester,69201,53.364776,-2.240352
FREEDOM CONSULTATION LTD,14369738,5 Kelvin Street,Manchester,M4 1ET,"69201, 69203, 74909, 82990",Manchester,69201,53.483692,-2.236909
ACCOUNTING SOLUTIONS (MCR) LTD,12740352,10 Milton Road,Manchester,M32 0RD,"69201, 69202, 69203, 82990",Manchester,69201,53.453976,-2.297343
SAPHI ASSOCIATES LIMITED,08479883,Mansion House,Altrincham,WA14 4RW,69201,Manchester,69201,53.397888,-2.353017
ELTAL LIMITED,08482903,1 Ravens Close,Manchester,M25 0FU,69201,Manchester,69201,53.519083,-2.256894
BARCLAY ACCOUNTING SERVICES LIMITED,12176574,"C/O E M Accountancy Ltd Office 4, Trafalgar House",Altrincham,WA14 1NU,69201,Manchester,69201,53.396816,-2.350918
RUBINSTEIN LIMITED,09693554,69 Butterstile Close,Manchester,M25 9PH,69201,Manchester,69201,53.519301,-2.2878
UPPER RIVER ACCOUNTANTS LTD,10674010,2 Oakleigh Avenue,Manchester,M19 2WP,69201,Manchester,69201,53.43533,-2.199582
TST&I LIMITED,15747263,"Unit C, Aldow Enterprise Park",Manchester,M12 6AE,"69201, 69203, 70229, 82990",Manchester,69201,53.47621,-2.219903
TAXPRO ACCOUNTANCY LTD,10913924,"Second Floor, 2 Railway Road",Manchester,M41 0XL,69201,Manchester,69201,53.448856,-2.352325
EAZY ACCOUNTING LTD,10785809,"Office 2, First Floor Offices, 2-4 Nelrose",Manchester,M20 2LT,69201,Manchester,69201,53.429019,-2.25253
CUSTOM PROCESS ENGINEERS LTD,06255126,15 Leafield,Manchester,M29 8QE,69201,Manchester,69201,53.517122,-2.446999
EAC ACCOUNTANCY ASSIST LIMITED,04687962,Wilsons Park,Manchester,M40 8WN,"69201, 69202",Manchester,69201,53.499615,-2.205552
ON & UP CONSULTING LIMITED,14932136,115 Manley Road,Manchester,M16 8WE,69201,Manchester,69201,53.446759,-2.262693
KAVALLA LIMITED,13438763,Reedham House,Manchester,M3 2PJ,69201,Manchester,69201,53.48185,-2.249828
INCOME TO IMPACT ACCOUNTANCY LTD,14865877,3 St Anne's Place,Manchester,M34 5JB,"69201, 69202",Manchester,69201,53.472339,-2.147962
HOWARD PARK LIMITED,07276559,106-108 Reddish Lane,Manchester,M18 7JL,69201,Manchester,69201,53.455436,-2.159182
BRAEHEAD FINANCE LIMITED,06902727,C/O Social Money St Johns House,Manchester,WA14 1JY,69201,Manchester,69201,53.390356,-2.346819
TOPPING PARTNERSHIP (ACCOUNTANTS) LIMITED,11359154,Incom House Waterside,Manchester,M17 1WD,69201,Manchester,69201,53.466642,-2.293319
COTAX PROFESSIONALS LIMITED,12108136,Regus 4th Floor Centenary House,Manchester,M50 1RF,69201,Manchester,69201,53.481737,-2.32677
ORACLE ACCOUNTANTS LIMITED,04919964,"3 Arundale Avenue, Chorlton",Lancashire,M16 8LS,69201,Manchester,69201,53.444044,-2.254712
BASS ACCOUNTANTS LIMITED,13613260,67 Windsor Road,Manchester,M25 0DB,69201,Manchester,69201,53.524987,-2.253295
FISCALFRAME ACCOUNTING SERVICES LTD,15803904,Bartle House,Manchester,M2 3WQ,69201,Manchester,69201,53.476469,-2.243906
AMBIENT ACCOUNTING LTD,11072379,Suite 6 Ellesmere House 1 Pennington Street,Manchester,M28 3LR,"69201, 69202",Manchester,69201,53.522935,-2.391115
AAA & CO ACCOUNTANTS LTD,10798769,39 Aspinall Street,Manchester,M14 5UD,"69201, 69202, 69203",Manchester,69201,53.454709,-2.225214
ACCOUNTANCY SERVICES 4 BUSINESS LTD,07703458,198 Liverpool Road,Manchester,M44 5DB,69201,Manchester,69201,53.423731,-2.439487
COMMUNITY ACCOUNTANCY SERVICE LIMITED,02570992,"The Grange, Pilgrim Drive",Manchester,M11 3TQ,69201,Manchester,69201,53.479687,-2.200664
