place_id,google_name,address,google_rating,review_count,latitude,longitude,types,search_postcode
ChIJo6mqLo6re0gRFE21Nl49RI0,COPA Accounting,"Gateway House Suite 3.5, Wythenshawe, Manchester M22 5WY, UK",5.0,43,53.3645544,-2.24012,"accounting, establishment, finance, point_of_interest",M22 5TG
ChIJf95B5wxnzCYRsYjRMDMexlY,Taxes Done Right Ltd,"Piccadilly Business Centre, Aldow Enterprise Park, Blackett St, Manchester M12 6AE, UK",5.0,66,53.4753979,-2.2200488,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJzWUTOKaxe0gRZXNjadKv3AI,Super Financial Limited - Contabil Român / Accountant,"Blackett St, Manchester M12 6AE, UK",4.7,13,53.4758643,-2.2192907,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJ_Q3st46xEmsRkdBEUFQy1is,WL Advisory,"Level 11/66 Clarence St, Sydney NSW 2000, Australia",5.0,56,-33.8669339,151.2052009,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJUT65ej2uEmsRPWkjAaPDt0I,Charltons,"8/261 George St, Sydney NSW 2000, Australia",4.9,82,-33.864486,151.207144,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJ5_6ib3qvEmsRDbWsXB5x1to,Sigma Group Chartered Accountants,"Suite 1001, Level 10/4 Bridge St, Sydney NSW 2000, Australia",4.8,24,-33.8634831,151.2078736,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJA5tF92rDU0URuAd8DbudKuM,Simple Taxes,"Unit C, Picadilly Business Centre, Enterprise Park, Manchester M12 6AE, UK",5.0,28,53.4762012,-2.2191343,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJSauXGUCuEmsRpTVndNdZUCk,Sydney Accountants Group - Martin Place,"MLC Centre, Level 57/25 Martin Pl, Sydney NSW 2000, Australia",4.9,58,-33.868225,151.2092631,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJ44IQVD-uEmsRhx4oFDlE0DM,Sydney Tax & Accountancy Services Pty Ltd,"Suite 101, Level 1/276 Pitt St, Sydney NSW 2000, Australia",4.9,243,-33.8740577,151.2083316,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJDXGmCUCuEmsRDVnVo3LUYyU,Kelly+Partners Accountants Sydney CBD,"L53/25 Martin Pl, Sydney NSW 2000, Australia",5.0,22,-33.8684363,151.2092083,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJS5xQ2j2uEmsRY6BEBttn-_c,Complete Accounting & Tax Solutions PTY LTD,"1003, Level/10/276 Pitt St, Sydney NSW 2000, Australia",4.6,11,-33.8739395,151.2082672,"accounting, establishment, finance, point_of_interest",M12 6AE
ChIJO0Dc5bqxe0gRDoKDARJ8mSI,Lee & Co Accountants,"116-118 Oldham Rd, Greater, Ancoats, Manchester M4 6AG, UK",5.0,49,53.4866365,-2.2277896,"accounting, establishment, finance, point_of_interest",M4 6AG
ChIJPdQ8MnOxe0gRXEejyKv8ob8,SQK Accountancy,"24 Hood St, Ancoats, Manchester M4 6WX, UK",5.0,21,53.4843153,-2.2281051,"accounting, establishment, finance, point_of_interest",M4 6AG
