title,uri,description,listing_id,industry,location,source,date,image,permanent_id
AAB,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JferIAC,"... , ESG, Corporate Finance, Hotel Accounting, Payroll & Employment, Private Client, Tax, and Virtual Finance services globally from offices in the United Kingdom, Ireland and United States.",30b4e117-937f-4cd3-bf54-9d73661a5730,,,SalesforcePublic,1774620017000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/32902969-e9fb-4bbc-8396-17d354bb09d9-1721916476,fa10b025531619542f1af7bf1cad5f96ff6246ef
Mills Pyatt Chartered Accountants,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JfpSIAS,... registered at Companies House in England & Wales No: 13221264 and also registered by the Institute of Chartered Accountants in England and Wales to carry on audit work in the United Kingdom.,af33379c-8947-40a9-9afc-b29caa152c85,,,SalesforcePublic,1772681637000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/a633f91e-0041-4056-8022-f984f9eb39e8-1657629502,8a3cab9083fc64d91e66f0462355f9a09efd3e77
Gow and Partners Ltd,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000ItdxIAC,"Accountancy firm acting as your very own finance department, freeing your time to focus on your business.",7f98b0cd-847b-4f42-a10e-a6ddbc00283c,,,SalesforcePublic,1773663367000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/b22a2df3-15c4-4b25-9a10-4f1167bfd31b-1678968683,dcc7ff3b028d2a5f3770e6f746f0101bde2bc85c
Gerald Thomas,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jf8tIAC,Gerald Thomas are an established firm of United Kingdom Chartered Accountants and Business Advisers based in Swansea servicing clients throughout the whole of South Wales.,dbb90a21-600b-4b5e-842c-86c02194087c,,,SalesforcePublic,1772679851000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/54529e20-708e-4be1-8afb-3a57035f7669-1538732189,987a8ec00c3b6bccf0f21efded0083ef40b96bfd
PIE Accountancy,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jg0oIAC,"We’re human, we’re direct and, above all, we care. We’re here to work with you and get your business ready for anything.",71d504b1-2abc-4236-868c-6eaf0474cc05,,,SalesforcePublic,1775551106000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/8bbc083c-f2dd-4994-baa6-bb76effcd1db-1660836229,f08155f2e858a59cbb4ac19dbbb6ccb67f03e4eb
Bracey's Accountants,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JiNxIAK,We provide a range of accounting services and work with you to identify the most suitable ... Our flexible approach allows you to combine services to run a fully outsourced finance function.,100afa92-9d4a-40fc-a44b-b78e4dfb5d75,,,SalesforcePublic,1775554159000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/316273d1-ff83-45c5-b0fd-6122f2c877d9-1507278883,98b317d516b24b8d6a78ffe8a856980354bada26
Cooper Parry Advisory Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JiTXIA0,.,2f13ad06-e775-48b4-b910-2d2996312791,,,SalesforcePublic,1775036748000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/9ef430e1-f620-4fda-a6ef-7c1cc34c65cc-1701168809,f662008fc27e0a939edb942a7087ec41b1140242
Lucraft Hodgson & Dawes LLP,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JgviIAC,,d319b8a5-995e-408b-bcd3-5f864bc167e2,,,SalesforcePublic,1774353654000,https://www.xero.com/pi/d179091c-4d5c-47ff-9a60-b1511f519549.jpg,708f2e43fc959bb8e30749c8ab6d4ef6b3495e59
JRS Business Services Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JSv3IAG,"Personal, bespoke advice given to each and every client, rather than generic or formulated 'help'.",1d46f2ce-c468-4d33-abcf-223d89aeb422,,,SalesforcePublic,1773675543000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/7d662215-c84c-46b2-a032-0d1ca7846741-1542144429,e4987a3961d72333c7b7d18969c2e2dea13b1b7d
T&W Accounts Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JiToIAK,We offer accountancy services to businesses of all sizes.,4ae5bd74-fe28-4eee-9c36-e0315c722267,,,SalesforcePublic,1773398581000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/d4f38d8e-e2e0-4f1a-8f47-01dc6ae589bf-1599301601,234e225d61dfeb5d6836e02af548d7a503aaacfb
David Owen & Co,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JhI7IAK,David Owen & Co is an established firm of Chartered Accountants and business advisers located in Devizes and Marlborough in Wiltshire.,3505bcfd-2d60-4066-b8f7-d958e747c8b2,,,SalesforcePublic,1774969196000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/89b45852-24d7-4078-b1bf-c0d09771d5bd-1501079587,5aa17f45caff3501876db92ca4b8b2dcff790779
Digital Tax Matters Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JhKfIAK,"Accountants who specialise in cloud accounting and providing clients with advice, support and the tools ... DTM has proudly achieved Xero Platinum status, the highest accolade we can ask for ...",21fd28f2-45b8-4862-ae39-9b9c585dd87e,,,SalesforcePublic,1775580021000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/63a912d4-fb6e-4696-88ae-1b2b3992a0b0-1740414679,e34e5fbd74c4d2dfe28807d7966d9c43cb16f75f
Beany UK,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JgjkIAC,"Online accountants and advisors for UK businesses. Fixed price, paid monthly, to cover your end of year compliance and unlimited support, including Xero queries! - Xero Certified team - ...",f9f875b7-15cd-4ef4-9b24-2e89d453312d,,,SalesforcePublic,1775578803000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/cfdbd417-1e8b-4027-9fa0-7aa010c95351-1736464682,cf4af2de8cf79e7aef1a01876028e1a307cbface
Surrey Hills Accountancy Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JiI9IAK,"Surrey Hills Accountancy is a firm of Chartered Accountants, providing accounting services and business advice to small and medium-sized companies.",25b66d22-f65b-489b-8b48-895a4afcd92b,,,SalesforcePublic,1773848538000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/ab1df106-b638-42f9-95e4-f0579830b63c-1705913759,2f294dfe81a69b6951e9f1236ed22a52f545f177
Office Assistants,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jh2EIAS,Expert bookkeeping services to help you make better financial decisions in your business from the accounting information available,13927144-4f18-4257-8392-faed6fa6d950,,,SalesforcePublic,1773743096000,https://www.xero.com/pi/45a47001-c054-47dc-bd26-741c5ae1a4d1.jpg,b5e8efdc982f692f458e69d607df14ed4b15e5cc
UHY Hacker Young Chester,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jg53IAC,We are a top 20 firm with a strong local presence and specialising in SME's offering the full range of business services,291082b0-c777-40a5-a855-8350ac491742,,,SalesforcePublic,1773605638000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/494bcef7-2166-4d11-9ead-773fb2e6017d-1737047994,bb569ec5809c5084383250c33df4b531a5745304
Armstrong Watson,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Ih1hIAC,"The complete cloud accounting solution With over 15 years Xero experience we are the ... We have extensive knowledge of the software and, alongside providing businesses with solutions for ...",30cdbf00-99e7-4397-8cb5-156b74095297,,,SalesforcePublic,1775122482000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/5baacbe5-1ef8-4755-a7f3-29a8a6f59455-1636384026,e4629a5b46d7621f11a6e0c84a0b80112375631e
Xeinadin Hornby,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JiOLIA0,"At Xeinadin Hornby we are totally committed to providing our clients with a service ... We keep track of all the essentials for you and provide professional, practical advice on how to add ...",a978c473-beee-47ed-b7a7-a0439a514e6e,,,SalesforcePublic,1774369692000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/c72a7d6c-260f-458d-98c5-463f777743f8-1730825087,0688b2b7749bb051004931e6f4cdce87cdf3f4a8
Douglas Home & Co,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JiOFIA0,"Our compliance teams are committed to provide a personal approach across a wide range of services including accounts and tax return preparation, bookkeeping, payroll and audit.",dc7e64c8-0d7e-4559-8c1d-cc3aa3a8489c,,,SalesforcePublic,1775039254000,https://brandfolder.xero.com/NE531UQB/at/jvqp9rbc6x4tnvnj8jnbf8pw/logo-placeholder.png?auto=webp&format=png,bb6a92ad08bf5a350df4319b69ec14c3053b3007
Hentons Chartered Accountants,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JeweIAC,"The team includes the following service lines: Small and Micro Business Unit – An all-inclusive Accounting and Tax service designed for contractors, freelances or start-ups.",5b1ae206-3573-4fd7-b177-c795966b43b9,,,SalesforcePublic,1774878390000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/4868499f-ba6b-4b91-b50b-2703a3cc0f3d-1649170891,d63714308a23a95aef181fe62ed01f732ddc18f0
Sleek,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jhq1IAC,"At Sleek, we’re all about making life easier for entrepreneurs with fast, reliable ... Our all-inclusive, transparent yearly pricing means you can plan with confidence, knowing there are no ...",83aa8d61-3dc9-4701-af11-10f773050441,,,SalesforcePublic,1775545489000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/35874ff3-57a6-4d86-aa59-9fcd2ff16eeb-1693457503,340b3be594e9ae5154dc4fc92d8f09e791a6c12a
Johnsons Chartered Accountants,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JhwwIAC,Forward thinking firm of accountants with deep background in driving efficiencies and business value for clients. Able to provide insight and assistance to all stages of a business.,230dc836-81bd-4891-8822-3dff0eaced2c,,,SalesforcePublic,1774442189000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/58000612-3fd5-4410-a1de-afe57192bcf9-1654880147,0424da957c76011d2526b4a7214343ba8fa539ed
CED Accountancy Services Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JgujIAC,"CED Accountancy Services Limited (CEDAS) is a firm of Chartered Accountants based in Towcester, Northampton and Rugby providing Accountancy Services, taxation and business advice to a variety ...",27d562fc-fb13-4883-9bb5-5d1f8191c3c9,,,SalesforcePublic,1774454723000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/5f86ee4b-fe08-4fb1-98e0-e9fd713729b5-1555407451,ab162f895949e06a869b4bd9fbe9996902d9de36
Exchange Accountants Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Ji2AIAS,Exchange Accountants are based in Lisburn and service clients not only in the Greater Belfast Area but also through the whole of NI as well as in RoI and GB.,85fc6fd8-823d-4391-9a37-fcfcf5d0e192,,,SalesforcePublic,1774367274000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/ba1469f6-7da9-4f4c-b460-0c9f285020e6-1675353389,d288d9e080b003fd28bd1a722b42379f7c89ffdf
CEM Bookkeeping & Consultancy Ltd,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jg0UIAS,"Bookkeeping and Consultancy Services to Small Business and Entrepreneurs in the London area. CEM is all about passion & integrity for YOUR business, automation, compliance and expertise.",38a3a42b-be6d-47e5-b9a7-447caebbfd07,,,SalesforcePublic,1774224651000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/4da499c6-cd47-442d-92a4-2f425827714c-1486129060,fad042a833dafa15aa99765cc8abc0c6586dcdc3
AIMS Accountants for Business,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JglhIAC,A Fellow of the Institute of Chartered Accountants; I trained in practice and now solely focus on helping SME owners do what they do best; develop and run their businesses.,109f104c-80ba-41a2-8cf6-bc79ff04655f,,,SalesforcePublic,1773856783000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/242c2356-8352-4c74-9c7d-fa3f5c84f8ea-1552141795,d5f12112c56848812bafc9982a1d0352a2a7ba29
Dakin & Co Accountancy Services Ltd,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JpV3IAK,Blow the dust off those stuffy old traditions and find out about a fresh world of accountancy. Dakin & Co is a people business that helps you take a fresh look at your accounts and ...,5182d98a-ebd3-4504-b281-576adb333263,,,SalesforcePublic,1773841988000,https://xero.my.salesforce.com/sfc/dist/version/download/?oid=00Do0000000biwC&ids=068Uv00000WTHeR&d=%2Fa%2FUv000001IR2n%2FNobR7IwC_yo.vCyvPP1cOnjgAQe8vhNQr5vHU7zM89M&asPdf=false,04c94b89160b919f1491d5e9d8c8ecde0a35ac72
Botham Accounting Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000DMmWIAW,"We specialise in the Property & Construction and Healthcare sectors and offer tax advice, audit and accounting services to SMEs ... We have offices in London, Nottingham and Sheffield.",b80aba7c-99b6-4639-b90f-be6d3ae9188b,,,SalesforcePublic,1773682469000,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/05c22a3e-e40e-48bc-b0ed-cfc7dabd70b3-1747748895,92ec80ba0906252a3f3f80717acc304362e7323f
ViFi - A Streets Group Co.,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000DQ7xIAG,"Introducing your new outsourced finance department We act as your full finance team or enhance the one ... Make finance simple, flexible, and built around your goals – delivering powerful ...",fd9983ff-1cf9-4db6-ac14-77c41dfdb6d5,,,SalesforcePublic,1775130384000,https://xero.my.salesforce.com/sfc/dist/version/download/?oid=00Do0000000biwC&ids=068Uv00000IZiAR&d=%2Fa%2FUv000000i0if%2FvR0NQyL6dETfKCzbAnVSboEYBZkmAZfLuNbA8mnq1fs&asPdf=false,ae553b54a3a0b5780534262a5058e95313a502b3
