place_id,name,address,country,suburb,city,rating,reviews,longitude,latitude,postcode,outward_code,flag_hospitality,flag_construction,flag_healthcare,flag_media,flag_professional_services,flag_real_estate,place_id,Badge,claimed,specialisms,fees,client_type,focus_area,client_portal,accreditations,submitted_entry,firm_slug,city_slug,specalist_segments,bio,website
ChIJ807y6rTRh0gROix5JFVvFtc,Cloud 9 Accounting Team Ltd,"3 Orchard Grove, Crombie, Dunfermline KY12 8JP, UK",GB,Crombie,Dunfermline,4.8,16,-3.52639,56.04818,KY12 8JP,KY12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def23bc2ba6a4a1c49f703_dunfermline.png,,,,,,,,,,,,,
ChIJh4qaDuS-h0gRwooRX3Bxyoo,Lacey Accounting,"93A Ocean Dr, Leith, Edinburgh EH6 6BW, UK",GB,Leith,Edinburgh,5,89,-3.17806,55.97972,EH6 6BW,EH6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dddec617601786fa360453_edinburgh.png,,,,,,,,,,,,,
ChIJHbWUyi4IkkgROG1fLYZvxIE,Tax Solutions Scotland Limited,"1 Lennox Rd, Lennoxtown, Glasgow G66 7HN, UK",GB,Lennoxtown,Glasgow,5,61,-4.20911,55.97701,G66 7HN,G66,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def2705359b17543ce8515_glasgow.png,,,,,,,,,,,,,
ChIJ2S9SZAW4h0gRnSkW-tbszb4,Cowan & Partners Limited,"60 Constitution St, Leith, Edinburgh EH6 6RR, UK",GB,Leith,Edinburgh,5,170,-3.16764,55.9745,EH6 6RR,EH6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dddec617601786fa360453_edinburgh.png,,,,,,,,,,,,,
ChIJex0FD3zHh0gR9eoiHFzTEGg,WATTAX,"142A Ferry Rd., Edinburgh EH6 4NX, UK",GB,,Edinburgh,5,15,-3.18622,55.9744,EH6 4NX,EH6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJq5xIo8LHh0gRXX6kDBKGU4M,Gillespie Tax Management Ltd,"1 Inverleith Gardens, Edinburgh EH3 5PU, UK",GB,,Edinburgh,3.2,11,-3.20932,55.97111,EH3 5PU,EH3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJI8adOujHh0gRUG4eTdyxt24,TaxAssist Accountants,"18 Montagu Terrace, Goldenacre Terrace, Edinburgh EH3 5QR, UK",GB,,Edinburgh,5,94,-3.20777,55.97018,EH3 5QR,EH3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dddec617601786fa360453_edinburgh.png,,,,,,,,,,,,,
ChIJLY1fTlVviEgRtuLNl53Hxp4,Traynor Accounting,"Dunnswood House, Dunnswood Rd, Wardpark Rd, Cumbernauld, Glasgow G67 3EN, UK",GB,Cumbernauld,Glasgow,5,12,-3.95737,55.97012,G67 3EN,G67,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJq5ztbhTGh0gRdfQsFw2W8eM,S&W - Edinburgh,"Q Court, 3 Quality St, Edinburgh EH4 5BP, UK",GB,,Edinburgh,4.7,13,-3.27287,55.9632,EH4 5BP,EH4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJsbrpnnS4h0gR2W8JfSOjyG0,TaxAssist Accountants,"105-107 Easter Rd, Edinburgh EH7 5PP, UK",GB,,Edinburgh,4.4,19,-3.17165,55.96034,EH7 5PP,EH7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dddec617601786fa360453_edinburgh.png,,,,,,,,,,,,,
ChIJk1CF5YzHh0gRs9ysiFXoe8k,Bond Chartered Accountants,"17-19 E London St, Leith, Edinburgh EH7 4BN, UK",GB,Leith,Edinburgh,4.7,14,-3.19008,55.95933,EH7 4BN,EH7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJSULvEfLHh0gRNxOoy8ZVjv0,Steedman and Company,"3 Queen St, Edinburgh EH2 1JE, UK",GB,,Edinburgh,4.3,49,-3.19546,55.9552,EH2 1JE,EH2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
